Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
7-days-vases,7 Days Vases,<p>These stunning clear opal vases were designed to represent the 7 days of the week</p>,holly's house,Interesting Objects,interesting objects,true,Size,1.Tall,,,,,,0,,1,deny,manual,12.5,25,true,true,,https://cdn.shopify.com/s/files/1/0104/1842/products/vases7joursthumb.jpg?v=1328623390,,false,,,,home & garden > decor > vases,,,Interesting Objects,Interesting Objects,new,true,,,,,,,kg
7-days-vases,7 Days Vases,,,Interesting Objects,interesting objects,true,Size,1.Short,,,,,,0,,1,deny,manual,12.5,25,true,true,,https://cdn.shopify.com/s/files/1/0104/1842/products/vases7joursthumb.jpg?v=1328623390,,false,,,,home & garden > decor > vases,,,Interesting Objects,Interesting Objects,new,true,,,,,,,kg
